act,slpstate,time
0,0,1:39:00
0,0,1:39:30
0,0,1:40:00
0,0,1:40:30
0,0,1:41:00
0,0,1:41:30
0,0,1:42:00
0,0,1:42:30
0,0,1:43:00
0,0,1:43:30
0,0,1:44:00
0,0,1:44:30
0,0,1:45:00
0,0,1:45:30
0,0,1:46:00
0,0,1:46:30
0,0,1:47:00
0,0,1:47:30
20,0,1:48:00
0,0,1:48:30
0,0,1:49:00
0,0,1:49:30
0,0,1:50:00
0,0,1:50:30
0,0,1:51:00
0,0,1:51:30
0,0,1:52:00
0,0,1:52:30
0,0,1:53:00
0,0,1:53:30
0,0,1:54:00
